,Unnamed: 0,app_ver_name,reviewer_language,device,review_month,star_rating,review_text,sentiment,topic,detail_topic
0,0,4.5.1,id,a6lte,8,5,praktis dan mudah hemat waktu,positif,feedback,baik
1,1,4.4.7,id,CPH1909,8,5,lebih mudah,positif,feedback,baik
2,2,4.5.1,id,OP4B80L1,8,1,sering tutup paksa tolong benerin lagi aplikasi nya min,negatif,error,crash
3,3,4.5.1,en,F04G,8,5,sekarang versi baru malah time out terus busuk busuk,negatif,error,timeout
4,4,4.5.1,en,F04G,8,5,busuk busuk mau buat akun ngetik nama aja susah minta ampun tidak bisa matiin auto correct,negatif,feedback,lain
5,5,4.4.7,id,CPH1909,8,5,kai access mantap,positif,feedback,baik
6,6,4.5.1,id,1935,8,1,sudah masukkan nomor hp dan email kata sandi juga sudah tapi berkali kali klik daftar tidak bisa bisa,negatif,registrasilogin,registrasi
7,7,4.5.1,en,kenzo,8,1,sejak download update terbaru malah susah dibuka,negatif,error,aksesapp
8,8,4.4.7,id,CPH1901,8,5,suka banget tidak perlu antri,positif,feedback,baik
9,9,4.4.7,id,on7xelte,8,4,mantap,positif,feedback,baik
10,10,4.5.1,id,a12,8,5,baik,positif,feedback,baik
11,11,4.5.1,id,1904,8,1,jual jasa test genose tapi layanan tidak ada kesannya menjebak dana tidak bisa ditarik harusnya aplikasinya di update tidak ikhlas saya,negatif,feedback,lain
12,12,4.4.9,id,A37f,8,5,sangat baik,positif,feedback,baik
13,13,4.5.1,id,OP4F25L1,8,1,sangat jelek tiket tidak tersedia semuanya macam aplikasi bocah kecil,negatif,pemesanan,getjadwal
14,14,unknown,id,A2010-a,8,5,aplikasinya bagus tapi tolong ditambahin jumlah tiket yang bisa di pesen,netral,pemesanan,maxpemesanan
15,15,unknown,id,j4lte,8,5,mudah simpel luar biasa aplikasinya,positif,feedback,baik
16,16,4.5.1,id,a7y18lte,8,5,baik,positif,feedback,baik
17,17,4.5.0,id,mido,8,4,bagus dan cepat,positif,feedback,baik
18,18,4.5.1,id,CPH1605,8,5,mempermudah kami dalam merencanakan perjalanan,positif,feedback,baik
19,19,4.4.1,id,lancelot,8,5,good,positif,feedback,baik
20,20,unknown,id,Infinix-X625D,8,2,mohon bantuan saya pengen ganti nomor hp tapi tidak bisa di kai access jadi saya harus apa supaya nomor hp bisa diganti,netral,pengaturan,editprofil
21,21,4.4.7,id,a51,8,1,entah lah,netral,feedback,lain
22,22,4.5.1,id,DRG_sprout,8,5,semoga kereta api indonesia semakin tambah bagus pelayanannya,positif,feedback,lain
23,23,4.5.1,id,CPH1909,8,1,pembatalan kereta tidak ada pemberitahuan sama sekali,negatif,pembatalan,announcebatal
24,24,4.4.8,id,tulip,8,5,lumayan,positif,feedback,lain
25,25,4.4.7,id,a31,8,5,sangat membantu terima kasih kai,positif,feedback,baik
26,26,4.5.1,id,ASUS_A007,8,5,sangat membantu para train lover,positif,feedback,baik
27,27,4.5.1,id,rolex,8,5,perjalanan yang nyaman,netral,feedback,lain
28,28,4.5.1,id,OP4BA5L1,8,5,aplikasi dengan ragam solusi untuk para pengguna layanan kereta api pesan tiket bisa dari rumah tanpa perlu antri super praktis,positif,feedback,baik
29,29,4.5.1,id,a20s,8,2,kenapa tidak bisa ganti nomor telepon,negatif,pengaturan,editprofil
30,30,4.5.1,id,a20s,8,2,lebih praktis lagi kalau pembatalan tiket juga bisa dilakukan di aplikasi ini terutama tiket kereta lokal,negatif,pembatalan,errorpembatalan
31,31,4.4.7,id,gts28velte,8,5,mantap,positif,feedback,baik
32,32,4.4.7,id,lavender,8,4,oke,netral,feedback,lain
33,33,4.5.1,id,Infinix-X690B,8,3,cara pengembalian dana nya bagaimana,netral,feedback,lain
34,34,4.4.9,id,grandpplte,8,5,hidup sederhana,netral,feedback,lain
35,35,4.5.1,en,sweet,8,3,bintang aja lah bisa pesan tapi tidak bisa mengubah keberangkatan otomatis harus ke loket lagi mohon maaf payah,negatif,pemesanan,editpemesanan
36,36,4.5.1,id,CPH1803,8,5,aplikasi sangat bagus pesan tiket bisa lebih mudah terima kasih kai access,positif,feedback,baik
37,37,4.4.3,en,j6primelte,8,5,mudah digunakan,positif,feedback,baik
38,38,4.4.7,id,tissot_sprout,8,5,buruan perbaiki layanannya kalo gini mulu merugikan pelanggan,negatif,feedback,lain
39,39,4.5.1,id,j4lte,8,5,sangat memudahkan saya untuk perjalanan jarak jauh terima kasih pt kai sangat memuaskan,positif,feedback,baik
40,40,4.5.1,id,RMX1851,8,1,pelayanan di kai belum sebaik itu masih ya gitu deh terlalu kaku,negatif,feedback,lain
41,41,4.5.1,id,santoni,8,2,kenapa aku gabisa login invalid token terus,negatif,registrasilogin,login
42,42,4.4.7,id,a6lte,8,5,baik,positif,feedback,baik
43,43,unknown,id,ginkgo,8,1,kalau ada minus saya pilih itu karena waktu saya membatalkan tiket uang kembalian tidak segera masuk padahal saya sudah melakukan pada hari ,negatif,feedback,lain
44,44,unknown,id,CPH1909,8,1,buruk gabisa di akses sama sekali,negatif,error,aksesapp
45,45,4.4.7,id,CPH1605,8,5,mudah,positif,feedback,baik
46,46,4.5.1,en,1727ID,8,1,adain fitur chat cs by aplikasi dong masa harus telpon dulu kalau ada keluhan pulsa saya sampai habis dan masalah belum terbantu saya keluhkan by email tidak dibales sampai seminggu pas saya lapor lewat twitter baru di bantu tapi sama aja tidak gercep malas banget,negatif,feedback,lain
47,47,4.4.7,id,RMX2061L1,8,1,pelayanan jelek pesan tiket online bisa begitu sampai stasiun kereta tidak berangkat kenapa tidak menginfokan lewat aplikasi tiket yang terbeli juga tidak dikembalikan secara otomatis,negatif,pembatalan,announcebatal
48,48,4.5.1,id,Infinix-X680B,8,5,good,positif,feedback,baik
49,49,4.5.1,id,whyred,8,1,dari dulu sampai sekarang entah bug apa tidak login dengan email bener tapi huruf kecil semua tidak bisa masuk harus huruf kapital di awal padahal aplikasinya cuma bisa huruf kecil semua,negatif,registrasilogin,login
50,50,4.5.1,id,ASUS_Z017D_1,8,1,aplikasi trouble atau gimana ya saya cari kereta kok tulisannya jadwal tidak di temukan di semua tanggal,negatif,pemesanan,getjadwal
51,51,4.4.9,id,a6plte,8,5,top,positif,feedback,baik
52,52,unknown,id,crownlte,8,5,tambahkan menu pembelian makanan minuman dong biar tidak nunggu petugasnya keliling,netral,feedback,lain
53,53,4.4.7,id,OP4863,8,5,good,positif,feedback,baik
54,54,4.5.1,id,ginkgo,8,5,mantap terbaik,positif,feedback,baik
55,55,4.5.1,en,RMX2180,8,1,setelah saya update jadi lemot keluar sendiri,negatif,registrasilogin,login
56,56,4.4.7,en,ido,8,5,oke,netral,feedback,lain
57,57,4.4.9,id,1814,8,5,baik,positif,feedback,baik
58,58,4.4.7,id,ginkgo,8,5,kurang kolom saran dan kritik,netral,feedback,lain
59,59,4.4.7,id,1601,8,5,bagus,positif,feedback,baik
60,60,4.4.9,id,1610,8,5,aplikasi ini sangat bagus,positif,feedback,baik
61,61,4.4.7,id,A37f,8,5,xt,netral,feedback,lain
62,62,4.5.1,id,a12,8,2,tolong di update kembali terdapat kendala saat booking aplikasi terpaksa berhenti tidak lancar saat booking device samsung galaxy ,negatif,pemesanan,errorpemesanan
63,63,4.4.4,id,A1601,8,5,oke,netral,feedback,lain
64,64,unknown,id,ginkgo,8,5,kenapa sebulanan ini mau login atau daftar lagi ke kai access kok time out terus padahal sinyal oke pake wifi,negatif,registrasilogin,login
65,65,4.5.1,id,RMX2020,8,5,transportasi ter rakyat banget rakyat biasa bisa naik transportasi rasa pesawat nyaman pokoknya dibanding tahun yang lalu hihihi,positif,feedback,baik
66,66,4.5.1,id,CPH1803,8,1,ini gimana ya udah pesan tiket lokal tanggal agustus aku cek lagi kok tidak ada tiket yang tersedia pada hari itu,negatif,pemesanan,getjadwal
67,67,4.5.1,en,beryllium,8,1,tidak bisa cancel kayaknya dulu bisa dah,negatif,pembatalan,errorpembatalan
68,68,4.5.1,en,beryllium,8,1,tidak bisa bayar pake bca,negatif,pembayaran,metodebayar
69,69,unknown,id,A1603,8,5,kai access sangat membantu saya dalam perjalanan ka seperti cita cita saya ingin menjadi masinis kai,positif,feedback,baik
70,70,unknown,id,a02q,8,5,sangat bermanfaat dan membantu aplikasi keren,positif,feedback,baik
71,71,unknown,id,a51,8,5,praktis,positif,feedback,baik
72,72,unknown,id,a51,8,5,tolong di tingkatkan lagi untuk metode pembayaran direct debit di tambah lagi bank nya,netral,pembayaran,metodebayar
73,73,4.5.1,en,j2corelte,8,5,mau nanya apakah naik kereta api antar kota dari jawa timur ke yogyakarta harus vaksin padahal umur masih tahun,netral,feedback,lain
74,74,4.5.1,id,a52q,8,5,semoga pelayanannya tetap prima,netral,feedback,lain
75,75,4.5.1,en,ASUS_X01BD_2,8,4,channel pembayaran agar bisa diperbanyak untuk mempermudah calon penumpang,netral,pembayaran,metodebayar
76,76,4.5.1,id,RMX2020,8,5,saya mau tanya ini kenapa saya mau pesan tiket kai lokal tapi dari tanggal sampai tidak ada tiket yang tersedia apakah memang tidak menyediakan pembelian tiket via aplikasi atau gimana soalnya biasanya saya pesan lewat aplikasi terus dan selalu bisa mohon di bantu jawab terima kasih,netral,pemesanan,getjadwal
77,77,4.5.1,id,UMIDIGI Plus E,8,5,saya suka,positif,feedback,baik
78,78,4.4.7,id,CPH1605,8,5,terima kasih atas pelayanan yang telah diberikan,netral,feedback,lain
79,79,4.5.1,id,j4primelte,8,3,kenapa setelah di update malah tidak bisa load ya padahal kuota masih sinyal full juga,negatif,error,error
80,80,4.5.1,id,olive,8,5,pesan tiket yang lokal harusnya bisa milih tempat duduk biar kalo bareng keluarga bisa samping sampingan,negatif,pemesanan,errorpemesanan
81,81,4.5.1,id,joyeuse,8,1,forbidden terus aplikasi tidak jelas,negatif,error,error
82,82,4.5.1,id,CPH1901,8,1,mohon maaf teruntuk kai access ini kenapa ya kok saya nggak bisa pesan tiket kereta ka lokal kok nggak ada jadwal semuanya mohon dijawab admin,negatif,pemesanan,getjadwal
83,83,unknown,id,ugglite,8,5,sangat membantu,positif,feedback,baik
