,Unnamed: 0,Unnamed: 0.1,Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
0,0,0,com.kai.kaiticketing,81.0,4.4.1,id,a50s,6,1622507448771,2021-06-01T00:30:48Z,1622507448771,5,,,,,,
1,1,1,com.kai.kaiticketing,,,id,ginkgo,6,1622511428428,2021-06-01T01:37:08Z,1622511428428,3,,,,,,
2,2,2,com.kai.kaiticketing,88.0,4.4.7,id,ginkgo,6,1622511544782,2021-06-01T01:39:04Z,1622511544782,5,,,,,,
3,3,3,com.kai.kaiticketing,84.0,4.4.3,id,a10s,6,1622513151807,2021-06-01T02:05:51Z,1622513151807,5,,"Sangat membantu kebutuhan saya sebagai pengguna transportasi kereta, karena tidak harus pergi ke loket stasiun untuk membeli tiket kereta api, tinggal buka hp & aplikasi kai access udh beres",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHUfMuaRECnJgKROIA-gBiMXH4fwFsCw_tuy2db-_BBPwfzDn1tVzjkBG7AfZWKd8IHQEDWshAgHm2G&corpus=PUBLIC_REVIEWS
4,4,4,com.kai.kaiticketing,84.0,4.4.3,id,begonia,6,1622514787636,2021-06-01T02:33:07Z,1622514787636,5,,,,,,
5,5,5,com.kai.kaiticketing,86.0,4.4.5,id,ginkgo,6,1622516327923,2021-06-01T02:58:47Z,1622516327923,5,,,,,,
6,6,6,com.kai.kaiticketing,88.0,4.4.7,id,OP4BFB,6,1622516769729,2021-06-01T03:06:09Z,1622516769729,5,,,,,,
7,7,7,com.kai.kaiticketing,64.0,4.0.1,id,a10s,6,1622519608050,2021-06-01T03:53:28Z,1622519608050,5,,,,,,
8,8,8,com.kai.kaiticketing,,,id,OP4C7D,6,1622167977711,2021-06-01T03:59:05Z,1622519945627,5,,Cari tiket jd mudah,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOGBmNF8foaUQlxrMGwS2WhuZdvv20lein5qofGWHmAEo8jdvDc-qskOD-J3QI2bgyMTuhYFRzLTfO2h&corpus=PUBLIC_REVIEWS
9,9,9,com.kai.kaiticketing,88.0,4.4.7,en,j6primelte,6,1622522716630,2021-06-01T04:45:16Z,1622522716630,5,,,,,,
